Zipcode,Food_Stamp,With_Health_Coverage,With_Private_Insurance,With_public_coverage,No_health_insurance_coverage,Below_Poverty_Level
ZCTA5 78213,12.9,70.3,66,6.2,29.7,2.9
ZCTA5 78214,32.3,59.8,52.6,10.1,40.2,4.4
ZCTA5 78215,10.1,79.5,76.4,3.9,20.5,21.3
ZCTA5 78216,9.1,72,69.3,4.4,28,3.1
ZCTA5 78217,13.2,75,71.5,6.2,25,2.9
ZCTA5 78218,20.2,68.2,60.1,11,31.8,3.3
ZCTA5 78219,24.5,73.4,63.7,12.8,26.6,4.6
ZCTA5 78220,31.3,63.2,54.6,11.7,36.8,4.9
ZCTA5 78221,25.8,61.7,55.5,9,38.3,3.6
ZCTA5 78222,21.8,75.8,71,8,24.2,3.3
ZCTA5 78223,27.5,68.2,63.1,7.8,31.8,2.4
ZCTA5 78224,25.2,65,58.4,8.8,35,5.2
ZCTA5 78225,27.4,56.7,51.5,5.9,43.3,5.1
ZCTA5 78226,35.9,58.7,51.2,8.3,41.3,8.4
ZCTA5 78227,27.9,65.8,59.8,8.8,34.2,3.4
ZCTA5 78228,22.8,63,59.4,6.5,37,2.5
ZCTA5 78229,9.4,76.3,73.1,4.9,23.7,3.9
ZCTA5 78230,7.3,81.5,78,5,18.5,2.7
ZCTA5 78231,2.8,84.5,84.5,2.2,15.5,4
ZCTA5 78232,3.8,82.4,80.8,5.1,17.6,1.5
ZCTA5 78233,13.1,76.5,72.3,7.5,23.5,2.7
ZCTA5 78234,3.6,91.1,88.2,3.8,8.9,3.1
ZCTA5 78235,19.4,74.4,66.3,13.4,25.6,20.6
ZCTA5 78236,2.3,87,87,0,13,8.2
ZCTA5 78237,34.1,55.8,48.4,11.6,44.2,2.7
ZCTA5 78238,13.7,72,68.2,8.1,28,3.6
ZCTA5 78239,16.9,80.7,75.1,10.6,19.3,1.9
ZCTA5 78240,9.7,80.4,77.5,5.4,19.6,1.8
ZCTA5 78242,31.6,55.5,47.8,10.5,44.5,3.8
ZCTA5 78243,9999999.99,9999999.99,9999999.99,9999999.99,9999999.99,9999999.99
ZCTA5 78244,17.1,81,76,11.6,19,3.8
ZCTA5 78245,14.2,81.5,78.2,7.9,18.5,2
ZCTA5 78247,5.7,86.4,84.7,4.8,13.6,1.3
ZCTA5 78248,1,91.8,90.8,4.9,8.2,2.1
ZCTA5 78249,4.4,87.1,84.9,4.3,12.9,1.9
ZCTA5 78250,8.3,85.3,81.7,6.5,14.7,1.3
ZCTA5 78251,11.1,83.5,81.6,6.9,16.5,2
ZCTA5 78252,15.2,79.3,75.7,8.3,20.7,5.5
ZCTA5 78253,4.5,90.8,88,8.7,9.2,1.6
ZCTA5 78254,5.5,88.9,87.2,4.6,11.1,1.5
ZCTA5 78255,1.3,91.8,90.5,3.3,8.2,1.8
ZCTA5 78256,1.6,87.9,87.6,2.6,12.1,5.2
ZCTA5 78257,3.6,85.4,85,0.5,14.6,6
ZCTA5 78258,2.2,93.1,92.2,3.7,6.9,1.7
ZCTA5 78259,6.4,89.5,88.4,5.2,10.5,2.2
ZCTA5 78260,1.5,91.4,90.8,4.1,8.6,2.2
ZCTA5 78261,2.3,89.4,88.3,5.1,10.6,1.5
ZCTA5 78263,9.7,79.2,77.2,4,20.8,0.4
ZCTA5 78264,24.2,63,56.8,7.2,37,6
ZCTA5 78266,2.7,94.3,93.9,8,5.7,2.1
ZCTA5 78330,14.7,73.5,68.3,5.2,26.5,6.8
ZCTA5 78332,18.6,70,66.5,6.1,30,3.7
ZCTA5 78335,9999999.99,9999999.99,9999999.99,9999999.99,9999999.99,9999999.99
ZCTA5 78336,13.3,72.7,69.2,5.8,27.3,5.8
ZCTA5 78338,0,100,100,0,0,100
ZCTA5 78339,20.7,50.8,48.3,2.5,49.2,16.6
ZCTA5 78340,12.4,61.7,58.6,8.6,38.3,10.2
ZCTA5 78341,30.8,53.9,49,10.2,46.1,8.7
ZCTA5 78342,14.6,66,57.4,8.5,34,18.8
ZCTA5 78343,16.4,80.5,75.1,7.7,19.5,4.2
ZCTA5 78344,0,79.1,79.1,6.4,20.9,14.1
ZCTA5 78349,27.8,63.7,44,19.8,36.3,17.4
ZCTA5 78351,39.1,65.6,60.8,8.5,34.4,14
ZCTA5 78352,0,50,50,0,50,51
ZCTA5 78353,35,55.1,49,6.1,44.9,30.8
ZCTA5 78355,44.5,68.7,57.8,12.1,31.3,8.8
ZCTA5 78357,17.3,72,68.9,4.1,28,7.6
ZCTA5 78358,13.2,81.5,76.8,7.7,18.5,9.4
ZCTA5 78359,21.9,68,65.6,2.4,32,6.5
ZCTA5 78361,26.4,64.1,62.1,3.4,35.9,7.7
ZCTA5 78362,11.6,71.2,69.5,6,28.8,4.5
ZCTA5 78363,20,71.3,68.4,5.9,28.7,4.8
ZCTA5 78368,16.3,56.7,53.4,3.6,43.3,4.7
ZCTA5 78369,34.1,57.7,50.5,7.2,42.3,20.9
ZCTA5 78370,8.1,75.5,72.1,6,24.5,4.3
ZCTA5 78371,32.6,67.6,64.2,3.5,32.4,16.5
ZCTA5 78372,17.8,77.6,77.3,0.8,22.4,7
ZCTA5 78373,7.7,67.8,60.8,8.5,32.2,6.5
ZCTA5 78374,5.5,86.9,83.7,5.9,13.1,2.7
ZCTA5 78375,26.2,58.1,53.3,7.3,41.9,8.7
ZCTA5 78376,39.4,45.3,45.3,1.7,54.7,22.9
ZCTA5 78377,18.9,66.5,61.5,6.3,33.5,7.8
ZCTA5 78379,8.3,68.7,67.6,1.9,31.3,5.7
ZCTA5 78380,26.8,75.4,68.1,10,24.6,3.1
ZCTA5 78382,15.3,70.2,64.7,6.2,29.8,4
ZCTA5 78383,9.6,84.6,82.5,6.8,15.4,5.5
ZCTA5 78384,32,61.6,59.4,4.5,38.4,11.6
ZCTA5 78385,13.1,69.9,69.9,0.6,30.1,16.8
ZCTA5 78387,17.1,67.9,62.9,6.3,32.1,6
ZCTA5 78389,5.8,72.8,69,3.8,27.2,11.9
ZCTA5 78390,16.4,69.4,65.6,4.1,30.6,4.6
ZCTA5 78391,14.4,66.3,66.3,0,33.7,22.8
ZCTA5 78393,11.1,81.9,80.8,1.8,18.1,3.5
ZCTA5 78401,37.7,42.9,34.2,10.5,57.1,13.6
ZCTA5 78402,5.6,40,40,0,60,22.9
ZCTA5 78404,20.6,60.2,53.4,8.5,39.8,4.4
ZCTA5 78405,35.3,55.1,44.3,11.7,44.9,4.7
ZCTA5 78406,21.1,49.3,41.6,7.7,50.7,14.1
ZCTA5 78407,27.5,54,44.6,11,46,11
ZCTA5 78408,33.4,51.6,45.7,7,48.4,5
ZCTA5 78409,14.1,63.9,59.8,5,36.1,6.2
ZCTA5 78410,13.7,80.9,77.1,5.6,19.1,2.3
ZCTA5 78411,21.8,78.9,72.4,9.1,21.1,3.6
ZCTA5 78412,13.1,72,67.7,6.6,28,3
ZCTA5 78413,9.7,84.5,81.7,5.7,15.5,2.3
ZCTA5 78414,5.7,86.5,84.7,4.4,13.5,1.2
ZCTA5 78415,23.1,66.7,62.2,7,33.3,2.6
ZCTA5 78416,33.1,57,48.4,10.6,43,5
ZCTA5 78417,25,62.7,58.4,5.6,37.3,5.3
ZCTA5 78418,13.8,76.1,72.4,6.1,23.9,2.7
ZCTA5 78419,1.9,84,84,0,16,8.5
ZCTA5 78501,30.7,50.4,47.8,3.8,49.6,2.8
ZCTA5 78503,28.2,45.9,41.5,5.2,54.1,4.4
ZCTA5 78504,13.1,74.1,71.1,4.5,25.9,2.6
ZCTA5 78516,37,44.1,37.8,7.2,55.9,4.2
ZCTA5 78520,33.7,49.2,46.2,3.8,50.8,2.6
ZCTA5 78521,35.2,45,40.6,5.8,55,2.3
ZCTA5 78526,22.9,59.2,55.6,5.2,40.8,2.9
ZCTA5 78535,30.4,56.4,56.4,0,43.6,22.3
ZCTA5 78536,17.4,57.9,41.2,19.3,42.1,11.7
ZCTA5 78537,41.4,43.5,39.4,5.1,56.5,3.9
ZCTA5 78538,45.4,49.4,45.7,4.2,50.6,6.6
ZCTA5 78539,17.2,70.3,68.4,3,29.7,3.3
ZCTA5 78541,29.3,58.1,54.1,5.5,41.9,3.3
ZCTA5 78542,36.4,50,46.4,4.8,50,3.1
ZCTA5 78543,45.5,45.4,44.7,4.4,54.6,9.3
ZCTA5 78545,17.7,43.8,43.8,0,56.3,37.4
ZCTA5 78548,36.4,34.9,34.9,0,65.1,25.8
ZCTA5 78549,51.4,59.1,59.1,0,40.9,28.1
ZCTA5 78550,26,64.9,60.7,5.8,35.1,2.8
ZCTA5 78552,17.1,71.5,69.7,3.2,28.5,2.7
ZCTA5 78557,31.3,47,45.8,1.9,53,6.1
ZCTA5 78558,50.4,58.6,56,7.6,41.4,24.3
ZCTA5 78559,29.8,62.3,57.1,6.7,37.7,5.9
ZCTA5 78560,41.7,56.6,55,1.6,43.4,8.6
ZCTA5 78561,50.8,85.7,85.7,5.3,14.3,16.4
ZCTA5 78562,47.5,51.8,47.3,4.5,48.2,9.2
ZCTA5 78563,19.5,28.3,28.3,0,71.7,42.6
ZCTA5 78564,0,9999999.99,9999999.99,9999999.99,9999999.99,67.9
ZCTA5 78565,42.1,9999999.99,9999999.99,9999999.99,9999999.99,65.6
ZCTA5 78566,30.2,54.7,51.9,5.2,45.3,4.2
ZCTA5 78567,33.5,55.2,53,2.2,44.8,18.5
ZCTA5 78569,28.4,73.8,69.7,4.1,26.2,6.5
ZCTA5 78570,47.8,49.1,43.1,7,50.9,3.5
ZCTA5 78572,24.8,53,49.6,4.6,47,2.6
ZCTA5 78573,36.2,49,45.8,3.5,51,4.6
ZCTA5 78574,40.4,41.9,39.2,3.4,58.1,2.7
ZCTA5 78575,18.4,62.4,61.4,2.9,37.6,6.6
ZCTA5 78576,42,25.8,21.2,5.3,74.2,8.2
ZCTA5 78577,37.7,47.8,43.4,5.6,52.2,3
ZCTA5 78578,28.2,47,42.6,5.3,53,5.9
ZCTA5 78579,34.3,30.1,24.1,6,69.9,13
ZCTA5 78580,36.7,62.1,57.8,8.3,37.9,6.1
ZCTA5 78582,42.6,44.8,40.9,5.8,55.2,3.2
ZCTA5 78583,11.3,61.6,59.2,3.4,38.4,7.1
ZCTA5 78584,47.8,45,41,4.2,55,5.2
ZCTA5 78585,24.8,65,65,0,35,26.1
ZCTA5 78586,40.1,51.8,47.8,5.2,48.2,3.1
ZCTA5 78588,10.4,80.8,80.8,0,19.2,27.4
ZCTA5 78589,34.8,47,44,4.3,53,3.6
ZCTA5 78590,30,75.7,70,5.7,24.3,21.2
ZCTA5 78591,16.7,69.4,63.9,5.4,30.6,15.4
ZCTA5 78592,44.7,52.2,47,5.1,47.8,14.1
ZCTA5 78593,34.3,57.6,53.3,8.5,42.4,9.3
ZCTA5 78594,15.9,48.3,48.3,0,51.7,14
ZCTA5 78595,43.8,40.4,37.1,3.3,59.6,8.7
ZCTA5 78596,35.4,51.1,45.6,7.2,48.9,2.9
ZCTA5 78597,3.2,67.9,66.5,3.1,32.1,14.9
ZCTA5 78598,0,100,100,0,0,28.8
ZCTA5 78602,11.6,79.6,75.9,6.1,20.4,3.3
ZCTA5 78605,6.4,85.3,84.2,2.4,14.7,3.8
ZCTA5 78606,6.4,70.4,68.8,2.7,29.6,3.4
ZCTA5 78607,0,0,0,0,100,79.6
ZCTA5 78608,0,81.5,75.8,18.9,18.5,15.1
ZCTA5 78609,2.1,67.5,66.6,4.4,32.5,1
ZCTA5 78610,8.6,86.3,84.5,3.7,13.7,3.1
ZCTA5 78611,14.1,71.8,67.3,5.1,28.2,4.6
ZCTA5 78612,12.2,78.6,77.8,2.2,21.4,4.7
ZCTA5 78613,5.5,89.2,88,3.1,10.8,1
ZCTA5 78614,0,73,73,0,27,14.3
ZCTA5 78615,3.7,89.1,89.1,1.8,10.9,9.9
ZCTA5 78616,24.3,67.5,65.1,7.7,32.5,8.2
ZCTA5 78617,24.1,68,61.8,8.8,32,5.1
ZCTA5 78618,2.2,69.3,64.8,6.8,30.7,4.6
ZCTA5 78619,2.1,73.4,73.4,0.5,26.6,4.1
ZCTA5 78620,4.5,88.3,86.1,4.7,11.7,2.7
ZCTA5 78621,12.9,77.3,73.2,6.5,22.7,4.3
ZCTA5 78622,20.4,70.1,70.1,0,29.9,27
ZCTA5 78623,0,100,100,12.1,0,15.4
ZCTA5 78624,8.5,70.5,67.2,5.5,29.5,3.3
ZCTA5 78626,7.8,75.7,73.1,4.2,24.3,2.8
ZCTA5 78628,3.3,87.1,85.8,2.8,12.9,1.9
ZCTA5 78629,17,66.3,65.5,1.5,33.7,3.8
ZCTA5 78631,8.3,65.3,58,7.3,34.7,5.5
ZCTA5 78632,8.5,72.5,68.3,4.5,27.5,15.7
ZCTA5 78633,0.7,95.8,93.5,4.5,4.2,1.6
ZCTA5 78634,5.4,87.2,85.9,8.2,12.8,2
ZCTA5 78635,0,9999999.99,9999999.99,9999999.99,9999999.99,9999999.99
ZCTA5 78636,5.8,62.9,58.8,5.8,37.1,3.5
ZCTA5 78638,7.6,70.3,69.6,2.5,29.7,7.9
ZCTA5 78639,18.6,58.6,42.8,15.8,41.4,7.7
ZCTA5 78640,10.2,78.1,76.7,2.9,21.9,2.4
ZCTA5 78641,6.7,83.8,82.2,2.9,16.2,1.6
ZCTA5 78642,7.9,84.5,83.1,3.6,15.5,3.7
ZCTA5 78643,8.6,76,73.7,4.3,24,3.7
ZCTA5 78644,16.7,76.6,71.5,6.9,23.4,2.5
ZCTA5 78645,6.1,78.3,76.5,3,21.7,3.5
ZCTA5 78648,15.8,71.6,70.5,2.3,28.4,6.5
ZCTA5 78650,9.3,70.6,69.6,3.8,29.4,11.8
ZCTA5 78652,3.4,81.8,79.5,4.5,18.2,4
ZCTA5 78653,13.7,73,67.8,6.8,27,3.5
ZCTA5 78654,11.7,68.9,66.1,4.3,31.1,3.7
ZCTA5 78655,19.6,71,66,7.3,29,8.1
ZCTA5 78656,14.1,67.7,67.7,3.2,32.3,10.3
ZCTA5 78657,2.5,70.9,68.5,2.9,29.1,2.5
ZCTA5 78659,2.1,90.5,88.3,3.5,9.5,3.7
ZCTA5 78660,7.5,85.1,83.4,3.7,14.9,2
ZCTA5 78661,16.8,81.3,70.6,14.4,18.8,37.2
ZCTA5 78662,8.9,91.7,91.3,1.8,8.3,7.5
ZCTA5 78663,7.5,82.1,79.4,7.2,17.9,4.4
ZCTA5 78664,9.7,79.2,76,6.7,20.8,1.9
ZCTA5 78665,4,89.6,88.7,2.8,10.4,1.8
ZCTA5 78666,11.9,73.3,70.3,4.5,26.7,2.3
ZCTA5 78669,4.9,81.2,79.4,2.7,18.8,3.6
ZCTA5 78670,4,56.2,56.2,0,43.8,40.1
ZCTA5 78671,13.2,77.1,67.9,16.2,22.9,19.3
ZCTA5 78672,8.5,46.2,42.8,3.3,53.8,11.2
ZCTA5 78675,0,100,100,0,0,36.9
ZCTA5 78676,4.5,79.4,77.6,3.5,20.6,4.6
ZCTA5 78677,0,94.5,94.5,0,5.5,46.5
ZCTA5 78681,5.4,88.6,87.2,4.5,11.4,1.7
ZCTA5 78701,4.3,93.5,92.4,2.1,6.5,3.2
ZCTA5 78702,27.8,69.9,61.8,9,30.1,4.2
ZCTA5 78703,0.8,92,91.7,0.5,8,1.3
ZCTA5 78704,7.9,79.5,76.7,3.8,20.5,2.6
ZCTA5 78705,2.3,84.7,82.9,2.7,15.3,9.3
ZCTA5 78712,9999999.99,76.8,76.8,0,23.2,9999999.99
ZCTA5 78717,3.1,87.1,85.8,2.1,12.9,0.9
ZCTA5 78719,27.1,50.2,39.6,10.6,49.8,13.4
ZCTA5 78721,26.5,72.6,63.8,11.3,27.4,6.8
ZCTA5 78722,9.3,79.4,76.5,3.1,20.6,5.8
ZCTA5 78723,21.7,70.8,62.5,9.5,29.2,3.5
ZCTA5 78724,32.7,53.4,48.2,6.5,46.6,5.1
ZCTA5 78725,13.8,64.9,62.5,4.3,35.1,9
ZCTA5 78726,5.2,87.7,86.1,4.1,12.3,3.6
ZCTA5 78727,6.5,85.4,82,5.1,14.6,2.2
ZCTA5 78728,9,77.5,75.9,2.5,22.5,3.7
ZCTA5 78729,4.3,84,81.8,5,16,2.6
ZCTA5 78730,1.5,90.6,90.6,0.3,9.4,2.7
ZCTA5 78731,2,92.2,91.2,2.9,7.8,1.6
ZCTA5 78732,0.5,96.4,96.2,1.9,3.6,0.8
ZCTA5 78733,3,93.2,92.1,2.4,6.8,1.5
ZCTA5 78734,4.7,83.2,79.4,5.1,16.8,2.9
ZCTA5 78735,2.4,85.5,83.8,1.7,14.5,2.1
ZCTA5 78736,1.9,90.6,90.4,2.2,9.4,2.6
ZCTA5 78737,3,92.7,91.4,2.2,7.3,2.2
ZCTA5 78738,0.5,97.4,96.4,1.2,2.6,1.2
ZCTA5 78739,1,94.7,94.6,1.2,5.3,0.8
ZCTA5 78741,21.9,55.8,48.3,8.7,44.2,4.3
ZCTA5 78742,17.2,79,79,0,21,18.1
ZCTA5 78744,23.4,61.2,53.8,9,38.8,3.3
ZCTA5 78745,10.7,75.7,73,4.1,24.3,2
ZCTA5 78746,0.8,95.4,94.3,1.8,4.6,1.2
ZCTA5 78747,11.6,84.9,81.6,4.4,15.1,3.6
ZCTA5 78748,7.6,84.9,82.6,4.1,15.1,1.7
ZCTA5 78749,2.1,89.8,88.8,3.1,10.2,1.7
ZCTA5 78750,5.1,83.9,82.8,3.5,16.1,1.8
ZCTA5 78751,5,85.9,82.4,3.9,14.1,5
ZCTA5 78752,19.1,55.5,49.2,7.3,44.5,5.8
ZCTA5 78753,24,57.7,49.5,9.5,42.3,3.1
ZCTA5 78754,9.8,73.4,71.4,4.8,26.6,4
ZCTA5 78756,5,90.1,87.4,3,9.9,1.8
ZCTA5 78757,9.6,80.9,78.4,3.4,19.1,3.3
ZCTA5 78758,16.5,62.5,57,6.6,37.5,2.8
ZCTA5 78759,2.1,87.7,86.5,2.1,12.3,1.1
ZCTA5 78801,23.1,65.3,61.1,5.5,34.7,3.6
ZCTA5 78802,13.7,85.2,38.3,46.9,14.8,36.7
ZCTA5 78827,37.2,69.8,68.1,3.7,30.2,12.9
ZCTA5 78828,0,56,56,0,44,37.5
ZCTA5 78829,44.4,24.1,20.8,3.3,75.9,17.8
ZCTA5 78830,33.2,40.2,36.7,3.5,59.8,10.1
ZCTA5 78832,12.6,68.6,65.8,11.4,31.4,7.3
ZCTA5 78833,17.7,68.6,68,0.6,31.4,11.1
ZCTA5 78834,24.6,65.5,61.7,5.3,34.5,5.4
ZCTA5 78836,0,9999999.99,9999999.99,9999999.99,9999999.99,88.4
ZCTA5 78837,7.7,75.4,68.4,7,24.6,30.6
ZCTA5 78838,0,72.7,72.7,0,27.3,46.5
ZCTA5 78839,39,64.4,56.5,8.6,35.6,6.4
ZCTA5 78840,19.8,66.8,63.8,4.8,33.2,2.6
ZCTA5 78843,0,9999999.99,9999999.99,9999999.99,9999999.99,9999999.99
ZCTA5 78850,16.5,80.7,79.5,1.2,19.3,5.1
ZCTA5 78851,0,9999999.99,9999999.99,9999999.99,9999999.99,100
ZCTA5 78852,34.9,58.3,54.4,5.6,41.7,3.1
ZCTA5 78860,9.2,15.7,15.7,0,84.3,19.5
ZCTA5 78861,19.2,76.4,72.7,8.7,23.6,4.7
ZCTA5 78870,19.9,56,56,0.8,44,12.8
ZCTA5 78871,0,9999999.99,9999999.99,9999999.99,9999999.99,100
ZCTA5 78872,24,56.5,54.6,3.7,43.5,9.8
ZCTA5 78873,7.2,54.4,48.8,8.3,45.6,7
ZCTA5 78877,21.5,48.1,48.1,0,51.9,16.3
ZCTA5 78879,0,0,0,0,100,37.2
ZCTA5 78880,16.3,76.5,72.1,4.5,23.5,6.6
ZCTA5 78881,21.9,66.5,62.6,7.9,33.5,8.3
ZCTA5 78883,6.3,73.9,73.9,0,26.1,20.5
ZCTA5 78884,10.1,61.1,59.3,3,38.9,9.4
ZCTA5 78885,0,86,86,0,14,51
ZCTA5 78886,3.2,74,71.6,5.2,26,18.3
ZCTA5 78931,0,79.2,79.2,60.4,20.8,41.1
ZCTA5 78932,4.1,87.2,84.9,11,12.8,2.3
ZCTA5 78933,0.7,95,95,0,5,7.5
ZCTA5 78934,10.5,76.6,71.7,6.1,23.4,4
ZCTA5 78935,25.3,85.8,78.9,7,14.2,12
ZCTA5 78938,17.2,71.1,71.1,3.5,28.9,26.7
ZCTA5 78940,1.1,88,87.3,4.2,12,2
ZCTA5 78941,8.5,74.2,73.7,0.4,25.8,4.3
ZCTA5 78942,11.1,66.6,65.4,3.2,33.4,5.3
ZCTA5 78943,0,46.9,46.9,0,53.1,16
ZCTA5 78944,3.6,81.7,81.7,0,18.3,6.1
ZCTA5 78945,9.6,77.5,76,5.6,22.5,4.2
ZCTA5 78946,4.7,89.1,88.3,0.7,10.9,7.1
ZCTA5 78947,6.9,83.6,81.3,2.8,16.4,4.5
ZCTA5 78948,1.4,80.9,79.8,4.2,19.1,6.9
ZCTA5 78949,0,94.1,94.1,0,5.9,11
ZCTA5 78950,7.4,73.6,73.6,0,26.4,12.1
ZCTA5 78951,9999999.99,9999999.99,9999999.99,9999999.99,9999999.99,9999999.99
ZCTA5 78953,2.1,44.6,43.3,1.3,55.4,5.1
ZCTA5 78954,0,91.6,91.6,2.6,8.4,4.2
ZCTA5 78956,6.1,81,80.1,3.7,19,4.7
ZCTA5 78957,12.4,78.1,73,8,21.9,4.4
ZCTA5 78959,19.1,53,51.4,1.6,47,5.2
ZCTA5 78962,7.6,83.7,81.9,3.4,16.3,3.9
ZCTA5 78963,10.9,95.2,95.2,2.3,4.8,4.4
ZCTA5 79001,4.7,86,76.7,15.5,14,6.1
ZCTA5 79003,7.2,84.1,84.1,2.7,15.9,38.6
ZCTA5 79005,8.1,73.6,70.3,5.9,26.4,5.3
ZCTA5 79007,14.3,73.3,69,6.4,26.7,2.6
ZCTA5 79009,19.5,69.7,61.1,8.7,30.3,8.1
ZCTA5 79010,0,99.1,99.1,0.9,0.9,35
ZCTA5 79011,0,98.6,98.6,0,1.4,29.2
ZCTA5 81025,22.1,70.8,54.6,16.8,29.2,8.9
ZCTA5 81027,6.6,96.9,90.6,6.3,3.1,54.1
ZCTA5 81029,3.5,74.7,66.3,9.6,25.3,7.5
ZCTA5 81030,27.5,69.5,62.7,6.8,30.5,8.3
ZCTA5 81033,8,100,97.7,2.3,0,16
ZCTA5 81036,12.9,82.7,80.2,3.4,17.3,8.1
ZCTA5 81038,9999999.99,100,100,0,0,9999999.99
ZCTA5 81039,15.3,86.1,77.7,10.6,13.9,4.6
ZCTA5 81040,9.5,53.6,53.6,0,46.4,22.2
ZCTA5 81041,22,45.3,35.4,11.4,54.7,12.2
ZCTA5 81043,3.7,75,75,10.7,25,48.7
ZCTA5 81044,6.1,92.2,65.7,34.3,7.8,5.4
ZCTA5 81045,2.6,74.5,74.5,7.8,25.5,11.6
ZCTA5 81047,11,75.3,72.4,8.4,24.7,5.7
ZCTA5 81049,4,77.5,69.2,9.2,22.5,4.1
ZCTA5 81050,20.3,78.4,66,17.4,21.6,4.6
ZCTA5 81052,22.6,86.5,72.2,16.5,13.5,4.8
ZCTA5 81054,26.8,71.3,62.6,10.7,28.7,7.2
ZCTA5 81055,10.1,68.7,61.3,7.4,31.3,5.7
ZCTA5 81057,21.7,58.9,54.4,8.3,41.1,15.1
ZCTA5 81058,19.5,69.5,61.3,11.7,30.5,8.1
ZCTA5 81059,10.7,77.6,77.6,0,22.4,42.8
ZCTA5 81062,21.5,81.5,72,10.3,18.5,15.1
ZCTA5 81063,26.9,75.7,57.7,18.6,24.3,10.2
ZCTA5 81064,4,69.4,64.2,5.2,30.6,7.4
ZCTA5 81067,17.9,69.9,60.4,11.7,30.1,5.1
ZCTA5 81069,1.5,89.1,81.7,10.6,10.9,2.7
ZCTA5 81071,5,68.4,65.8,7,31.6,7.6
ZCTA5 81073,11.7,74.2,58.1,18.6,25.8,5.6
ZCTA5 81076,14.9,89.3,73.6,19.8,10.7,21.3
ZCTA5 81077,13.1,83.7,70.5,13.2,16.3,11.6
ZCTA5 81081,0,100,100,0,0,98.9
ZCTA5 81082,14.9,78.6,70.6,11.1,21.4,2.7
ZCTA5 81084,8.9,35.6,35.6,0,64.4,28.3
ZCTA5 81087,22.7,73.1,60.3,12.8,26.9,22.2
ZCTA5 81089,22.4,74.4,57.6,19.2,25.6,8.1
ZCTA5 81090,9.8,75.2,69,7.6,24.8,7.2
ZCTA5 81091,8.8,82.9,72.8,12.1,17.1,6
ZCTA5 81092,6.1,79.1,72,7.8,20.9,5.1
ZCTA5 81101,24.2,80.6,67,16.6,19.4,4.7
ZCTA5 81120,24,73.4,59.6,16.1,26.6,6.8
ZCTA5 81121,7.3,87.5,87.5,2.9,12.5,18.5
ZCTA5 81122,5.8,81.8,79.4,4.4,18.2,1.9
ZCTA5 81123,25.6,60.2,39.1,22.4,39.8,11.7
ZCTA5 81124,27.5,61.4,61.4,0,38.6,57.1
ZCTA5 81125,22.1,56.8,43.3,16.8,43.2,7
ZCTA5 81126,0,100,74.2,25.8,0,45.4
ZCTA5 81128,0,0,0,0,100,52.5
ZCTA5 81129,43.5,25,25,0,75,25.4
ZCTA5 81130,0,86.8,82.1,10.7,13.2,2
ZCTA5 81131,13.2,52.6,35.1,22.1,47.4,9.9
ZCTA5 81132,18.9,72.1,60.5,14.1,27.9,6.4
ZCTA5 81133,16.3,81.7,78.4,7.6,18.3,10.8
ZCTA5 81136,16.5,81.7,81.7,0,18.3,18.5
ZCTA5 81137,6.5,79.3,74.4,7.6,20.7,3.3
ZCTA5 81138,0,69.2,69.2,0,30.8,66.3
ZCTA5 81140,17,77.7,63,16.7,22.3,5.9
ZCTA5 81141,16,70.4,58.6,15.1,29.6,6.1
ZCTA5 81143,11.6,76.6,52.7,23.9,23.4,13.7
ZCTA5 81144,18,78.3,75.5,7.5,21.7,5.5
ZCTA5 81146,2.4,81.9,72.2,11,18.1,9.7
ZCTA5 81147,9.5,64.5,56.7,10.6,35.5,3.3
ZCTA5 81148,34.1,72.3,45.7,30.9,27.7,16.7
ZCTA5 81149,13.6,72.3,58.7,13.9,27.7,10.6
ZCTA5 81151,16.5,75.7,70.7,8.1,24.3,7.3
ZCTA5 81152,32.9,79.7,65.2,18.2,20.3,10.2
ZCTA5 81154,18.2,75.8,57,19.4,24.2,9.3
ZCTA5 81155,0,67.2,63.5,11.7,32.8,22.3
ZCTA5 81201,4.5,75,71.4,6.8,25,3.1
ZCTA5 81210,0,78.9,78.9,0,21.1,35.5
ZCTA5 81211,8.7,79,72.4,7.5,21,3.6
ZCTA5 81212,13.3,81.3,71.6,12.8,18.7,3.3
ZCTA5 81220,0,100,100,0,0,50.9
ZCTA5 81221,17.7,89.2,81.5,9.2,10.8,6.1
ZCTA5 81222,24.7,75.4,44.8,30.6,24.6,26.7
ZCTA5 81223,7.2,89.4,80.3,14,10.6,8.3
ZCTA5 81224,2.6,79.4,77.7,2.3,20.6,1.7
ZCTA5 81225,4.1,74.1,66.4,10.5,25.9,2.3
ZCTA5 81226,19.6,77.6,70.6,7.3,22.4,5
ZCTA5 81227,0,100,100,0,0,9999999.99
ZCTA5 81230,8.5,75.9,71.9,5,24.1,5.1
ZCTA5 81231,9999999.99,88.8,88.8,0,11.2,9999999.99
ZCTA5 81232,0,9999999.99,9999999.99,9999999.99,9999999.99,9999999.99
ZCTA5 81233,0,82.2,82.2,0,17.8,8.3
ZCTA5 81235,2.5,75.9,69.5,8.1,24.1,3.6
ZCTA5 81236,0,87.5,87.5,0,12.5,10
ZCTA5 81237,0,100,100,0,0,40.4
ZCTA5 81239,9999999.99,9999999.99,9999999.99,9999999.99,9999999.99,9999999.99
ZCTA5 81240,11.3,88.4,82.2,8.6,11.6,6
